time_ms,weight_kg,sync
295782.0,0.0043,0
295795.0,0.0106,0
295808.0,-0.0159,0
295822.0,-0.0187,0
295835.0,0.0045,0
295848.0,0.0,0
295862.0,-0.0113,0
295875.0,0.0,0
295888.0,0.0089,0
295902.0,0.0201,0
295915.0,-0.0079,0
295928.0,-0.033,0
295942.0,-0.0176,0
295955.0,-0.0031,0
295968.0,0.0194,0
295982.0,-0.0135,0
295995.0,-0.0316,0
296008.0,-0.0241,0
296022.0,-0.0226,0
296035.0,-0.003,0
296048.0,-0.0262,0
296062.0,-0.0179,0
296075.0,-0.0133,0
296088.0,-0.0091,0
296102.0,-0.0055,0
296115.0,-0.0099,0
296128.0,-0.0034,0
296142.0,-0.0115,0
296155.0,-0.0081,0
296168.0,0.0122,0
296195.0,-0.0115,0
296208.0,-0.0119,0
296222.0,0.0,0
296235.0,0.0217,0
296248.0,0.0167,0
296262.0,-0.0023,0
296275.0,0.0119,0
296288.0,0.0067,0
296302.0,0.0051,0
296315.0,0.0197,0
296328.0,0.0078,0
296342.0,-0.0052,0
296355.0,0.0,0
296368.0,0.0146,0
296382.0,0.0291,0
296395.0,0.024,0
296408.0,0.0162,0
296422.0,0.0072,0
296435.0,-0.0024,0
296448.0,0.0,0
296462.0,0.0101,0
296475.0,0.0288,0
296488.0,0.0169,0
296502.0,0.0058,0
296515.0,0.0,0
296528.0,-0.0087,0
296542.0,-0.0055,0
296555.0,0.0047,0
296568.0,-0.0118,0
296582.0,-0.0104,0
296595.0,-0.02,0
296608.0,-0.0267,0
296622.0,-0.0072,0
296635.0,-0.0264,0
296648.0,-0.0557,0
296662.0,-0.0461,0
296675.0,-0.0126,0
296688.0,-0.0234,0
296702.0,-0.0346,0
296715.0,-0.0122,0
296728.0,0.005,0
296742.0,0.0,0
296755.0,-0.005,0
296768.0,-0.0201,0
296782.0,-0.0349,0
296795.0,-0.0162,0
296808.0,0.0217,0
296822.0,0.0,0
296835.0,-0.0116,0
296848.0,0.0132,0
296862.0,0.022,0
296875.0,0.0091,0
296888.0,0.0082,0
296902.0,0.0138,0
296915.0,-0.0122,0
296928.0,-0.0054,0
296942.0,0.0067,0
296955.0,0.0,0
296968.0,-0.0044,0
296982.0,0.0356,0
296995.0,0.0268,0
297008.0,0.0172,0
297022.0,0.0037,0
297035.0,-0.0207,0
297048.0,-0.0092,0
297062.0,-0.0048,0
297075.0,0.0106,0
297088.0,0.0125,0
297102.0,0.022,0
297115.0,0.0238,0
297128.0,0.0183,0
297142.0,0.0128,0
297155.0,0.0099,0
297168.0,-0.0085,0
297182.0,-0.0382,0
